intervid,treatment,resp_female,resp_primary,resp_secondary,resp_tertiary,resp_noschool,resp_age,resp_married,resp_emp,hhmem,hhmem_adults,hhmem_children,hhmem_elderly,hhmem_employed,hhmem_unemployed,hhmem_retired,hhmem_school,total_exp,food_exp,nondur_exp,dur_exp,temp_exp,savings_avg,followup
440,1,0,0,1,0,0,47,0,1,3,3,0,0,1,1,0,1,7180,3120,1560,1980,520,0,1
445,0,0,0,1,0,0,59,0,1,4,3,1,0,1,1,0,1,25216,10400,11640,2760,416,0,1
446,0,0,0,1,0,0,46,0,1,4,3,1,0,2,1,0,0,11450,4160,2040,3950,1300,500,1
448,1,0,0,1,0,0,43,1,0,2,2,0,1,0,0,2,0,5280,2600,1680,1000,0,0,1
452,1,0,0,1,0,0,39,0,1,4,2,2,0,2,0,0,1,10548,8060,960,800,728,0,1
454,1,0,0,1,0,0,20,1,1,3,3,0,0,2,1,0,0,11708,4160,1848,5700,0,0,1
457,1,0,0,1,0,0,42,0,1,4,3,1,0,2,0,0,2,4780,3640,1140,0,0,0,1
458,0,0,0,1,0,0,35,0,1,4,2,2,0,1,1,0,2,11700,5200,4800,1700,0,0,1
460,1,1,0,1,0,0,19,0,0,6,4,2,0,2,2,0,1,7480,4680,2700,100,0,0,1
462,1,0,0,1,0,0,51,0,1,4,2,2,0,1,0,0,2,9352,7800,552,1000,0,0,1
464,0,1,1,0,0,0,47,0,0,5,4,0,0,0,4,0,0,6000,4160,1320,0,520,0,1
465,1,0,1,0,0,0,65,0,0,1,1,0,1,0,0,1,0,4694,3640,540,150,364,0,1
470,0,1,0,1,0,0,41,0,0,4,3,1,0,0,0,1,1,10800,7800,3000,0,0,0,1
473,1,0,0,1,0,0,60,0,0,2,2,0,1,0,1,0,0,2360,2080,72,0,208,0,1
474,1,0,1,0,0,0,37,0,0,5,2,2,0,0,1,0,0,3780,1560,1440,0,780,0,1
475,0,1,0,1,0,0,53,0,0,1,1,0,0,0,0,1,0,4928,2600,1500,100,728,500,1
482,0,1,0,1,0,0,23,1,1,1,1,0,0,1,0,0,0,24880,3120,4260,17500,0,500,1
484,0,0,0,1,0,0,39,0,1,2,2,0,1,1,0,1,0,4422,2340,840,150,1092,0,1
485,1,1,1,0,0,0,63,0,0,1,1,0,0,0,0,1,0,8600,5200,2400,1000,0,0,1
486,1,1,1,0,0,0,43,0,0,2,2,0,0,1,0,1,0,12700,2600,600,9500,0,0,1
492,0,1,0,1,0,0,29,0,0,3,2,0,0,1,1,0,0,10700,3640,2760,4300,0,1500,1
493,0,1,0,1,0,0,30,0,0,4,2,2,0,1,0,0,2,3460,2600,660,200,0,0,1
496,1,0,1,0,0,0,45,0,1,3,2,1,0,1,1,0,1,5120,2600,1920,600,0,0,1
497,0,0,0,1,0,0,20,1,1,2,2,0,0,2,0,0,0,2840,2600,240,0,0,1500,1
499,1,1,1,0,0,0,35,0,1,3,2,1,0,1,0,0,2,9380,6240,2160,200,780,0,1
501,0,0,0,1,0,0,33,0,1,2,2,0,0,2,0,0,0,48080,20800,22080,5200,0,7000,1
503,0,0,0,1,0,0,19,1,1,3,3,0,0,2,0,0,0,34240,10400,13440,0,10400,0,1
509,1,0,0,1,0,0,64,0,0,3,3,0,0,0,2,0,0,9280,3640,4320,800,520,0,1
510,1,1,0,0,0,1,51,0,0,3,3,0,0,2,0,1,0,9116,2600,2580,3000,936,0,1
511,0,1,0,1,0,0,43,1,1,1,1,0,0,1,0,0,0,4240,2600,1260,120,260,0,1
518,1,0,0,1,0,0,64,0,0,2,2,0,0,0,0,1,0,8540,5200,1320,1500,520,0,1
519,1,0,1,0,0,0,61,0,1,3,2,1,0,1,0,0,1,6210,2600,1080,1750,780,0,1
520,0,0,1,0,0,0,21,1,0,4,3,1,0,1,1,0,1,5040,2600,1440,1000,0,0,1
521,1,0,0,1,0,0,21,1,1,3,3,0,0,2,0,1,0,4690,1040,840,2030,780,0,1
529,0,0,0,1,0,0,44,0,1,3,3,0,1,1,0,1,0,10312,3640,5040,540,1092,0,1
533,0,0,0,1,0,0,61,0,0,2,2,0,0,0,0,1,0,4720,3120,1200,400,0,500,1
535,1,1,1,0,0,0,58,0,0,2,2,0,0,1,0,0,0,11200,10400,240,300,260,1500,1
539,1,0,1,0,0,0,27,0,1,4,3,1,0,3,0,0,0,7090,4160,1800,350,780,3000,1
541,1,0,1,0,0,0,70,0,0,3,3,0,1,0,1,1,0,10438,7020,660,2030,728,0,1
543,1,0,1,0,0,0,33,1,0,2,2,0,1,0,1,1,0,7700,2600,4320,0,780,0,1
544,1,0,0,1,0,0,44,0,1,3,2,1,0,1,0,0,1,9780,5200,1680,2900,0,0,1
546,1,0,0,1,0,0,21,0,1,3,2,1,0,2,0,0,1,10300,5200,4800,300,0,0,1
547,1,0,0,1,0,0,19,1,1,7,6,1,0,1,3,0,1,8242,1560,4872,250,1560,7000,1
559,1,1,1,0,0,0,53,0,0,4,3,1,0,1,1,1,2,10260,9360,600,300,0,0,1
562,0,1,0,1,0,0,39,0,0,4,3,1,0,0,2,0,2,10360,7280,2280,280,520,0,1
563,1,1,0,1,0,0,44,0,0,4,3,1,0,1,2,0,1,4680,2860,1308,200,312,500,1
564,0,0,0,1,0,0,23,1,1,4,4,0,0,4,0,0,0,9720,7280,1920,0,520,1500,1
566,0,1,0,1,0,0,45,0,1,4,4,0,2,1,1,1,0,13520,10400,1560,0,1560,0,1
568,1,1,0,1,0,0,45,0,1,4,4,0,0,1,2,1,1,7040,5720,600,200,520,0,1
570,0,0,0,0,1,0,28,1,1,3,3,0,1,1,0,1,0,14180,7800,4680,1700,0,0,1
572,1,0,0,1,0,0,30,0,1,5,2,2,0,1,0,0,0,15920,9100,2760,4060,0,0,1
